City,Title,Details,Price,Old Price,Savings,Image,Link
delhi,2024 Nissan Magnite XV,"19,000 kms   •   Petrol   •   Manual",₹6.80 Lakh,,,https://images10.gaadi.com/usedcar_image/4925107/original/processed_d80af64d-a430-4304-be71-e0fadfbb6dea.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Nissan-magnite-xv-cars-Rudrapur_bfe46fec-5e90-4585-8f53-b1437b76b2eb.htm
delhi,2022 Renault Kiger RXT Opt,"14,464 kms   •   Petrol   •   Manual",₹5.50 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Renault-kiger-rxt-opt-cars-Durg_8151de38-abc5-443a-8ba2-648267183951.htm
delhi,2022 Kia Sonet HTX Turbo iMT BSVI,"37,741 kms   •   Petrol   •   Manual",₹8 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-imt-bsvi-cars-Dehradun_54dc74d1-e714-4dd5-80e2-434bdbb3c659.htm?adId=15658&adType=41
delhi,2023 Maruti Alto K10 LXI,"49,160 kms   •   Petrol   •   Manual",₹3.43 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-alto-k10-lxi-cars-Kanpur_1b4aa99d-7ed2-4aa8-9adf-2605b496dd79.htm
delhi,2022 Maruti Alto K10 VXI Plus,"26,491 kms   •   Petrol   •   Manual",₹3.35 Lakh,₹3.83 Lakh,"(Save ₹48,437)",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-alto-k10-vxi-plus-cars-Agra_4a666450-8cb7-4e9f-a846-23fc317fc3b2.htm
delhi,2023 Maruti Alto K10 STD,"11,539 kms   •   Petrol   •   Manual",₹3.05 Lakh,₹3.50 Lakh,"(Save ₹45,000)",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-alto-k10-std-cars-Patna_c90e0cc6-56c8-4f0e-9fa1-12061348467c.htm
delhi,2025 Nissan Magnite N Connecta,"2,200 kms   •   Petrol   •   Manual",₹7.87 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Nissan-magnite-n-connecta-cars-Patna_bfc61b9d-1197-465a-a8bf-22b9c6ab1f3b.htm?adId=14043&adType=41
delhi,2023 MG Astor Style MT,"23,000 kms   •   Petrol   •   Manual",₹7.45 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Mg-astor-style-mt-cars-Dehradun_87063037-8f0a-4f58-81b8-7ae462580868.htm
delhi,2023 Maruti Alto K10 VXI Plus,"11,000 kms   •   Petrol   •   Manual",₹4.15 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-vxi-plus-cars-Etawah_3052cae1-7014-4fc2-892a-010215fe847a.htm
delhi,2021 Renault Kiger RXL,"32,000 kms   •   Petrol   •   Manual",₹4.78 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Renault-kiger-rxl-cars-Mumbai_c07662e4-8c00-4156-8075-4537a096c007.htm
delhi,2023 Mercedes-Benz GLB 200 Progressive Line,"20,000 kms   •   Petrol   •   Automatic",₹56 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Mercedes-benz-glb-200-progressive-line-cars-Mumbai_641583b3-39e6-4f43-a7b3-573f346d5736.htm?adId=14008&adType=41
delhi,2024 Hyundai Venue SX Opt Knight Turbo DCT DT,"14,000 kms   •   Petrol   •   Automatic",₹11 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Hyundai-venue-sx-opt-knight-turbo-dct-dt-cars-Port-Blair_37cfd541-ad60-4e86-ad17-746ec83ade21.htm
delhi,2024 Kia Sonet Gravity,"16,000 kms   •   Petrol   •   Manual",₹9.70 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Kia-sonet-gravity-cars-Dombivli_9d656df0-bcf9-4170-abc2-48ecca362710.htm
delhi,2022 Renault Kiger RXT Opt,"65,000 kms   •   Petrol   •   Manual",₹4.92 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Renault-kiger-rxt-opt-cars-Kishangarh_18987a45-6db8-4a5b-a1fe-5f8e44da0701.htm
delhi,2024 MG Astor Select CVT,"20,000 kms   •   Petrol   •   Automatic",₹12.50 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Mg-astor-select-cvt-cars-Saharsa_94781cbd-a579-43f8-a311-235729437c0a.htm?adId=11619&adType=41
delhi,2022 Renault Kiger RXT,"11,737 kms   •   Petrol   •   Manual",₹6.45 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Renault-kiger-rxt-cars-Mumbai_8dcf1b80-65fa-422c-9519-413e2bc62d8e.htm
delhi,2023 Maruti Alto K10 VXI Plus,"4,600 kms   •   Petrol   •   Manual",₹5.20 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-vxi-plus-cars-Etawah_0629b443-05f8-4a5a-8de3-5a18b856a0c1.htm
delhi,2024 Renault Kiger RXZ Turbo CVT,"16,524 kms   •   Petrol   •   Automatic",₹7.85 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Renault-kiger-rxz-turbo-cvt-cars-Kolkata_149d194d-eb3a-425d-b16e-f4b993a85ed1.htm
delhi,2024 Kia Sonet HTK Plus,"10,000 kms   •   Petrol   •   Manual",₹8.40 Lakh,,,https://images10.gaadi.com/usedcar_image/4861260/original/processed_9bdb414f-71c0-47ce-b77a-b942b3871e4b.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Kia-sonet-htk-plus-cars-Rajkot_f4b72bfa-3f77-41e6-a4d5-09b33dec4353.htm?adId=13761&adType=41
delhi,2022 Renault Kiger RXZ,"50,214 kms   •   Petrol   •   Manual",₹5.75 Lakh,,,https://images10.gaadi.com/usedcar_image/4935144/original/16c68585f7ae9d23e97be1accd60bcf0.jpg?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Renault-kiger-rxz-cars-Surat_76d6960f-1f7f-4575-8c08-82776094d92d.htm
delhi,2024 Nissan Magnite XV,"19,000 kms   •   Petrol   •   Manual",₹6.80 Lakh,,,https://images10.gaadi.com/usedcar_image/4925107/original/processed_d80af64d-a430-4304-be71-e0fadfbb6dea.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Nissan-magnite-xv-cars-Rudrapur_bfe46fec-5e90-4585-8f53-b1437b76b2eb.htm
delhi,2022 Renault Kiger RXT Opt,"14,464 kms   •   Petrol   •   Manual",₹5.50 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Renault-kiger-rxt-opt-cars-Durg_8151de38-abc5-443a-8ba2-648267183951.htm
delhi,2022 Kia Sonet HTX Turbo iMT BSVI,"37,741 kms   •   Petrol   •   Manual",₹8 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-imt-bsvi-cars-Dehradun_54dc74d1-e714-4dd5-80e2-434bdbb3c659.htm?adId=15658&adType=41
delhi,2023 Maruti Alto K10 LXI,"49,160 kms   •   Petrol   •   Manual",₹3.43 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-alto-k10-lxi-cars-Kanpur_1b4aa99d-7ed2-4aa8-9adf-2605b496dd79.htm
delhi,2022 Maruti Alto K10 VXI Plus,"26,491 kms   •   Petrol   •   Manual",₹3.35 Lakh,₹3.83 Lakh,"(Save ₹48,437)",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-alto-k10-vxi-plus-cars-Agra_4a666450-8cb7-4e9f-a846-23fc317fc3b2.htm
delhi,2023 Maruti Alto K10 STD,"11,539 kms   •   Petrol   •   Manual",₹3.05 Lakh,₹3.50 Lakh,"(Save ₹45,000)",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-alto-k10-std-cars-Patna_c90e0cc6-56c8-4f0e-9fa1-12061348467c.htm
delhi,2025 Nissan Magnite N Connecta,"2,200 kms   •   Petrol   •   Manual",₹7.87 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Nissan-magnite-n-connecta-cars-Patna_bfc61b9d-1197-465a-a8bf-22b9c6ab1f3b.htm?adId=14043&adType=41
delhi,2023 MG Astor Style MT,"23,000 kms   •   Petrol   •   Manual",₹7.45 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Mg-astor-style-mt-cars-Dehradun_87063037-8f0a-4f58-81b8-7ae462580868.htm
delhi,2023 Maruti Alto K10 VXI Plus,"11,000 kms   •   Petrol   •   Manual",₹4.15 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-vxi-plus-cars-Etawah_3052cae1-7014-4fc2-892a-010215fe847a.htm
delhi,2021 Renault Kiger RXL,"32,000 kms   •   Petrol   •   Manual",₹4.78 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Renault-kiger-rxl-cars-Mumbai_c07662e4-8c00-4156-8075-4537a096c007.htm
delhi,2023 Mercedes-Benz GLB 200 Progressive Line,"20,000 kms   •   Petrol   •   Automatic",₹56 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Mercedes-benz-glb-200-progressive-line-cars-Mumbai_641583b3-39e6-4f43-a7b3-573f346d5736.htm?adId=14008&adType=41
delhi,2024 Hyundai Venue SX Opt Knight Turbo DCT DT,"14,000 kms   •   Petrol   •   Automatic",₹11 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Hyundai-venue-sx-opt-knight-turbo-dct-dt-cars-Port-Blair_37cfd541-ad60-4e86-ad17-746ec83ade21.htm
delhi,2024 Kia Sonet Gravity,"16,000 kms   •   Petrol   •   Manual",₹9.70 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Kia-sonet-gravity-cars-Dombivli_9d656df0-bcf9-4170-abc2-48ecca362710.htm
delhi,2022 Renault Kiger RXT Opt,"65,000 kms   •   Petrol   •   Manual",₹4.92 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Renault-kiger-rxt-opt-cars-Kishangarh_18987a45-6db8-4a5b-a1fe-5f8e44da0701.htm
delhi,2024 MG Astor Select CVT,"20,000 kms   •   Petrol   •   Automatic",₹12.50 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Mg-astor-select-cvt-cars-Saharsa_94781cbd-a579-43f8-a311-235729437c0a.htm?adId=11619&adType=41
delhi,2022 Renault Kiger RXT,"11,737 kms   •   Petrol   •   Manual",₹6.45 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Renault-kiger-rxt-cars-Mumbai_8dcf1b80-65fa-422c-9519-413e2bc62d8e.htm
delhi,2023 Maruti Alto K10 VXI Plus,"4,600 kms   •   Petrol   •   Manual",₹5.20 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-vxi-plus-cars-Etawah_0629b443-05f8-4a5a-8de3-5a18b856a0c1.htm
delhi,2024 Renault Kiger RXZ Turbo CVT,"16,524 kms   •   Petrol   •   Automatic",₹7.85 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Renault-kiger-rxz-turbo-cvt-cars-Kolkata_149d194d-eb3a-425d-b16e-f4b993a85ed1.htm
delhi,2024 Kia Sonet HTK Plus,"10,000 kms   •   Petrol   •   Manual",₹8.40 Lakh,,,https://images10.gaadi.com/usedcar_image/4861260/original/processed_9bdb414f-71c0-47ce-b77a-b942b3871e4b.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Kia-sonet-htk-plus-cars-Rajkot_f4b72bfa-3f77-41e6-a4d5-09b33dec4353.htm?adId=13761&adType=41
delhi,2022 Renault Kiger RXZ,"50,214 kms   •   Petrol   •   Manual",₹5.75 Lakh,,,https://images10.gaadi.com/usedcar_image/4935144/original/16c68585f7ae9d23e97be1accd60bcf0.jpg?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Renault-kiger-rxz-cars-Surat_76d6960f-1f7f-4575-8c08-82776094d92d.htm
delhi,2024 Nissan Magnite XV,"19,000 kms   •   Petrol   •   Manual",₹6.80 Lakh,,,https://images10.gaadi.com/usedcar_image/4925107/original/processed_d80af64d-a430-4304-be71-e0fadfbb6dea.jpg?imwidth=640,https://www.cardekho.com/used-car-details/used-Nissan-magnite-xv-cars-Rudrapur_bfe46fec-5e90-4585-8f53-b1437b76b2eb.htm
delhi,2022 Renault Kiger RXT Opt,"14,464 kms   •   Petrol   •   Manual",₹5.50 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Renault-kiger-rxt-opt-cars-Durg_8151de38-abc5-443a-8ba2-648267183951.htm
delhi,2022 Kia Sonet HTX Turbo iMT BSVI,"37,741 kms   •   Petrol   •   Manual",₹8 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Kia-sonet-htx-turbo-imt-bsvi-cars-Dehradun_54dc74d1-e714-4dd5-80e2-434bdbb3c659.htm?adId=15658&adType=41
delhi,2023 Maruti Alto K10 LXI,"49,160 kms   •   Petrol   •   Manual",₹3.43 Lakh,,,https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-alto-k10-lxi-cars-Kanpur_1b4aa99d-7ed2-4aa8-9adf-2605b496dd79.htm
